pair,market,entry_date,position_side,entry_price,position_size,entry_zscore,coint_pvalue,half_life,zero_crossing,exit_date,exit_zscore,exit_signal,total_pnl
MKR-USD--ADA-USD,MKR-USD,2023-04-26T09:17:53.599Z,LONG,698.0,0.072,-2.24288813038572,0.0114996689318094,7.0,35.0,2023-04-27T06:16:32.920461,-1.078117184068269,SL,-0.136596
MKR-USD--ADA-USD,ADA-USD,2023-04-26T09:18:12.676Z,SHORT,0.401163,123.0,-2.24288813038572,0.0114996689318094,7.0,35.0,2023-04-27T06:16:34.861604,-1.078117184068269,SL,-1.113947
NEAR-USD--DOGE-USD,NEAR-USD,2023-04-26T14:15:34.592Z,LONG,2.000752,25.0,-2.005426227867596,0.0096740953060232,17.0,17.0,2023-04-27T09:29:04.841212,-1.7200809556140724,SL,-3.031854
NEAR-USD--DOGE-USD,DOGE-USD,2023-04-26T14:15:53.204Z,SHORT,0.08244,600.0,-2.005426227867596,0.0096740953060232,17.0,17.0,2023-04-27T09:29:06.749002,-1.7200809556140724,SL,1.783633
ATOM-USD--ETH-USD,ATOM-USD,2023-04-20T17:10:33.519Z,LONG,11.308,4.4,-3.3998065641565294,0.0330335222039889,8.0,22.0,2023-04-27T10:56:40.213276,2.2652367278462857,TP,0.556516
ATOM-USD--ETH-USD,ETH-USD,2023-04-20T17:10:52.526Z,SHORT,1936.2,0.026,-3.3998065641565294,0.0330335222039889,8.0,22.0,2023-04-27T10:56:42.161240,2.2652367278462857,TP,1.435171
FIL-USD--UMA-USD,FIL-USD,2023-04-26T19:38:25.610Z,LONG,5.29,9.5,-1.7251583515953255,0.0011543636153931,12.0,31.0,2023-04-27T11:30:38.175397,1.7861429241713238,Zscore,-0.068076
FIL-USD--UMA-USD,UMA-USD,2023-04-26T19:38:43.987Z,SHORT,1.88,26.3,-1.7251583515953255,0.0011543636153931,12.0,31.0,2023-04-27T11:30:39.858969,1.7861429241713238,Zscore,-0.0336739999999999
ZEC-USD--AAVE-USD,ZEC-USD,2023-04-25T10:41:49.305Z,LONG,36.3,1.39,-1.7926985346395257,0.0387177008656166,10.0,21.0,2023-04-27T14:50:23.845822,2.3473343375171227,Zscore,1.534818
ZEC-USD--AAVE-USD,AAVE-USD,2023-04-25T10:42:08.410Z,SHORT,68.95,0.7,-1.7926985346395257,0.0387177008656166,10.0,21.0,2023-04-27T14:50:25.653932,2.3473343375171227,Zscore,-0.678592
YFI-USD--BTC-USD,YFI-USD,2023-04-25T14:51:02.712Z,LONG,7804.0,0.0064,-3.701312342024251,0.0089225101979292,5.0,13.0,2023-04-27T19:43:53.673532,-2.609835416342538,SL,3.242649
YFI-USD--BTC-USD,BTC-USD,2023-04-25T14:51:21.790Z,SHORT,27274.0,0.0018,-3.701312342024251,0.0089225101979292,5.0,13.0,2023-04-27T19:43:55.562676,-2.609835416342538,SL,-4.487612
TRX-USD--XMR-USD,TRX-USD,2023-04-26T20:46:45.373Z,SHORT,0.0649,770.0,1.7186624757584956,0.0303601037582485,9.0,15.0,2023-04-27T23:43:51.866001,2.524634120984906,SL,-0.628679
TRX-USD--XMR-USD,XMR-USD,2023-04-26T20:47:03.961Z,LONG,156.2,0.32,1.7186624757584956,0.0303601037582485,9.0,15.0,2023-04-27T23:43:53.993258,2.524634120984906,SL,-0.7106060000000001
NEAR-USD--SOL-USD,NEAR-USD,2023-04-27T09:30:38.665Z,LONG,1.882906,26.6,-2.028249023043217,0.0314501327919476,17.0,24.0,2023-04-28T10:38:26.049273,-1.351404217139898,SL,1.017985
NEAR-USD--SOL-USD,SOL-USD,2023-04-27T09:30:57.883Z,SHORT,21.555,2.3,-2.028249023043217,0.0314501327919476,17.0,24.0,2023-04-28T10:38:27.994744,-1.351404217139898,SL,-2.361297
BCH-USD--1INCH-USD,BCH-USD,2023-04-21T00:24:54.126Z,LONG,123.5,0.4,-2.247324439233572,0.0080755967799581,10.0,13.0,2023-04-28T11:33:59.088011,2.3575907365164754,Zscore,-2.346375
